boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,area,overlabel,overmodzct,overpop_es,overzcta,overarea,overmodztc,piecearea,pieceofct,perc_ct,aug6_COVID_CASE_RATE,aug6_COVID_DEATH_RATE,aug6_PERCENT_POSITIVE,may18_COVID_CASE_RATE,may18_COVID_DEATH_RATE,may18_PERCENT_POSITIVE
"1","1005700",Manhattan,I,"005700","57",MN23,West Village,"3810",1159594.7236800000537186861038208007813,4761.9140842300002987030893564224243,107730.517488893048721,"10003","10003",54682.0000000000000000000000000000000,"10003","1498072",East Village/Gramercy/Greenwich Village,107730.5182000000,1.0000000060,100.0000006000,"959.08","63.2","5.08","799.23","55.76","22.14"
"1","1005502",Manhattan,I,"005502","55.02",MN23,West Village,"3810",1243017.2145000000018626451492309570313,4547.0158745099997759098187088966370,115480.659406631675665,"10003","10003",54682.0000000000000000000000000000000,"10003","1498072",East Village/Gramercy/Greenwich Village,13251.5249700000,0.1147510330,11.4751033100,"959.08","63.2","5.08","799.23","55.76","22.14"
"1","1005502",Manhattan,I,"005502","55.02",MN23,West Village,"3810",1243017.2145000000018626451492309570313,4547.0158745099997759098187088966370,115480.659406631675665,"10012","10012",23411.0000000000000000000000000000000,"10012","835785",Greenwich Village/SoHo,102229.0986000000,0.8852486560,88.5248656500,"821.48","37.53","4.66","646.34","29.19","21.77"
"1","1004700",Manhattan,I,"004700","47",MN24,SoHo-TriBeCa-Civic Center-Little Italy,"3810",1780551.0581900000106543302536010742188,5987.2094221300003482610918581485748,165419.756817028770456,"10012","10012",23411.0000000000000000000000000000000,"10012","835785",Greenwich Village/SoHo,42687.1918700000,0.2580537690,25.8053769900,"821.48","37.53","4.66","646.34","29.19","21.77"
"1","1004900",Manhattan,I,"004900","49",MN24,SoHo-TriBeCa-Civic Center-Little Italy,"3810",2226124.3105600001290440559387207031250,6676.6060651099996903212741017341614,206815.088139258878073,"10012","10012",23411.0000000000000000000000000000000,"10012","835785",Greenwich Village/SoHo,205857.1877000000,0.9953683240,99.5368324100,"821.48","37.53","4.66","646.34","29.19","21.77"
"1","1006500",Manhattan,I,"006500","65",MN23,West Village,"3810",2167367.1069800001569092273712158203125,6351.1819821700000829878263175487518,201356.237199358205544,"10003","10003",54682.0000000000000000000000000000000,"10003","1498072",East Village/Gramercy/Greenwich Village,47224.1624300000,0.2345304170,23.4530417700,"959.08","63.2","5.08","799.23","55.76","22.14"
"1","1006500",Manhattan,I,"006500","65",MN23,West Village,"3810",2167367.1069800001569092273712158203125,6351.1819821700000829878263175487518,201356.237199358205544,"10012","10012",23411.0000000000000000000000000000000,"10012","835785",Greenwich Village/SoHo,132234.2501000000,0.6567179240,65.6717924100,"821.48","37.53","4.66","646.34","29.19","21.77"
"1","1001200",Manhattan,E,"001200","12",MN28,Lower East Side,"3809",1298211.2615900000091642141342163085938,5462.9242512999999235034920275211334,120608.330717807664769,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,120608.3307000000,0.9999999990,99.9999999800,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1007000",Manhattan,I,"007000","70",MN20,Murray Hill-Kips Bay,"3808",1908709.2195999999530613422393798828125,5538.1035520499999620369635522365570,177326.104591532232007,"10010","10010",33730.0000000000000000000000000000000,"10010","977409",Flatiron/Gramercy/Kips Bay,12.9993020000,0.0000733070,0.0073307320,"960.71","58.69","4.58","775.36","61.78","17.04"
"1","1007000",Manhattan,I,"007000","70",MN20,Murray Hill-Kips Bay,"3808",1908709.2195999999530613422393798828125,5538.1035520499999620369635522365570,177326.104591532232007,"10016","10016",51057.0000000000000000000000000000000,"10016","1378972",Kips Bay/Murray Hill/NoMad,177313.1169000000,0.9999267580,99.9926758100,"1523.1","93.29","6.62","1222.29","87.58","21.32"
